,total_loss,cls_loss,box_loss,model_loss,val_total_loss,val_cls_loss,val_box_loss,val_model_loss
0,2.3561859130859375,2.1635582447052,0.0027167259249836206,2.2993953227996826,1.51217520236969,1.377659797668457,0.001554521033540368,1.4553860425949097
1,1.4789565801620483,1.334932804107666,0.001744758104905486,1.4221707582473755,1.4023000001907349,1.2850821018218994,0.0012087299255654216,1.3455185890197754
2,1.3755135536193848,1.2487202882766724,0.001400370616465807,1.3187390565872192,1.3194421529769897,1.2100286483764648,0.0010529117425903678,1.26267409324646
3,1.2806938886642456,1.162011742591858,0.0012384472647681832,1.223934292793274,1.1993049383163452,1.0957372188568115,0.0009363581193611026,1.1425551176071167
4,1.1404376029968262,1.0281084775924683,0.00111182511318475,1.0836998224258423,1.032004475593567,0.931869626045227,0.0008681804756633937,0.9752787947654724
5,0.9895647168159485,0.8800490498542786,0.001056069741025567,0.9328530430793762,0.8888339996337891,0.791528582572937,0.000812163227237761,0.8321365714073181
6,0.8642366528511047,0.7574513554573059,0.0010020834160968661,0.8075554966926575,0.7735773921012878,0.6781960129737854,0.0007743428577668965,0.7169132232666016
7,0.7633077502250671,0.6606353521347046,0.0009205357055179775,0.706662118434906,0.6792004704475403,0.585117757320404,0.0007491245632991195,0.622573971748352
8,0.678521454334259,0.5776079297065735,0.0008861313108354807,0.6219144463539124,0.6027541756629944,0.510327935218811,0.0007167775765992701,0.5461668372154236
9,0.6117918491363525,0.5136152505874634,0.0008321705972775817,0.5552238821983337,0.544217586517334,0.4526676535606384,0.000700023549143225,0.48766884207725525
10,0.5618471503257751,0.463751882314682,0.0008313055732287467,0.5053170323371887,0.497570276260376,0.40649569034576416,0.0006912712706252933,0.44105926156044006
11,0.5157992243766785,0.4194371700286865,0.0007973945466801524,0.4593067467212677,0.4599462151527405,0.3701193034648895,0.0006670658476650715,0.40347257256507874
12,0.4781680107116699,0.3835344910621643,0.0007635678630322218,0.4217127859592438,0.4308161437511444,0.3410080671310425,0.0006674281903542578,0.37437954545021057
13,0.453235387802124,0.3577980101108551,0.00078037497587502,0.39681684970855713,0.4069341719150543,0.31738027930259705,0.0006630637217313051,0.3505334258079529
14,0.4222739338874817,0.32867196202278137,0.0007443829090334475,0.3658911883831024,0.38550296425819397,0.2959023118019104,0.0006647217087447643,0.3291383683681488
15,0.39635878801345825,0.30393660068511963,0.0007215155637823045,0.34001240134239197,0.3695039749145508,0.2805153727531433,0.000653207243885845,0.3131757974624634
16,0.37811627984046936,0.2855525314807892,0.0007250685594044626,0.32180601358413696,0.3543344736099243,0.2659608721733093,0.0006416238029487431,0.29804202914237976
17,0.36092954874038696,0.27035757899284363,0.0006859431159682572,0.30465489625930786,0.33985036611557007,0.2509777843952179,0.0006523100310005248,0.2835933268070221
18,0.34860512614250183,0.25757303833961487,0.0006958522135391831,0.2923656404018402,0.32751500606536865,0.24022290110588074,0.0006213973974809051,0.2712927758693695
19,0.33155474066734314,0.24191685020923615,0.0006686662673018873,0.2753502130508423,0.31942543387413025,0.2321266233921051,0.0006222399533726275,0.26323866844177246
20,0.3175481855869293,0.22862400114536285,0.0006551092374138534,0.2613794803619385,0.3073332607746124,0.2205960899591446,0.0006117213633842766,0.2511821985244751
21,0.3045612871646881,0.21698999404907227,0.000628768524620682,0.24842840433120728,0.3016788065433502,0.21494829654693604,0.0006123182829469442,0.24556417763233185
22,0.2990092933177948,0.21060611307621002,0.0006461269222199917,0.24291245639324188,0.30049723386764526,0.21317432820796967,0.0006248748977668583,0.24441812932491302
23,0.2922845780849457,0.20472413301467896,0.0006299756350927055,0.23622305691242218,0.2886035144329071,0.20296798646450043,0.0005918359966017306,0.23255981504917145
24,0.28404149413108826,0.1968395709991455,0.0006235169130377471,0.22801533341407776,0.2860108017921448,0.199669748544693,0.000606657296884805,0.23000262677669525
25,0.27717649936676025,0.19062991440296173,0.0006111277616582811,0.2211862951517105,0.2808632552623749,0.19473886489868164,0.000603045045863837,0.2248910665512085
26,0.2666534185409546,0.18114414811134338,0.0005911095067858696,0.21069957315921783,0.27662602066993713,0.19076064229011536,0.0005985955358482897,0.22069041430950165
27,0.2662607729434967,0.1803121566772461,0.0006006159819662571,0.21034297347068787,0.2697836458683014,0.18506574630737305,0.0005763575900346041,0.2138836532831192
28,0.25052085518836975,0.16730614006519318,0.0005466630682349205,0.1946391612291336,0.26680582761764526,0.18198391795158386,0.0005791799048893154,0.21094293892383575
29,0.25179821252822876,0.16731421649456024,0.000572785793337971,0.1959536373615265,0.2643219530582428,0.1796947568655014,0.0005760184722021222,0.20849564671516418
30,0.242161363363266,0.15904775261878967,0.0005461192922666669,0.18635371327400208,0.26332616806030273,0.17799590528011322,0.000590823998209089,0.20753706991672516
31,0.23633509874343872,0.15423239767551422,0.0005266507505439222,0.1805649697780609,0.2598068118095398,0.1750812530517578,0.0005794832832179964,0.20405541360378265
32,0.2429695725440979,0.15932008624076843,0.0005583183374255896,0.1872360110282898,0.2567708492279053,0.17195960879325867,0.000581911182962358,0.20105518400669098
33,0.22864417731761932,0.14733827114105225,0.0005121820722706616,0.1729474514722824,0.2537277936935425,0.16949479281902313,0.0005710956174880266,0.19804957509040833
34,0.2330453246831894,0.15029758214950562,0.0005417506908997893,0.17738507688045502,0.2561735510826111,0.17157669365406036,0.0005790972500108182,0.20053157210350037
35,0.2289251983165741,0.1470489203929901,0.0005250473623163998,0.1733013093471527,0.25348857045173645,0.16856324672698975,0.0005863856058567762,0.1978825181722641
36,0.21709924936294556,0.13753582537174225,0.000479523470858112,0.16151206195354462,0.24820172786712646,0.163766548037529,0.0005773421726189554,0.19263362884521484
37,0.22360362112522125,0.142415851354599,0.0005127534386701882,0.16805356740951538,0.24895592033863068,0.16442550718784332,0.0005799605278298259,0.19342349469661713
38,0.21956396102905273,0.13884927332401276,0.0005040150135755539,0.16405004262924194,0.24591532349586487,0.16150429844856262,0.0005783064407296479,0.19041959941387177
39,0.2183343917131424,0.13681766390800476,0.0005207842332310975,0.16285689175128937,0.24302920699119568,0.15954448282718658,0.0005605131736956537,0.18757015466690063
40,0.21365955471992493,0.13406965136528015,0.0004829811805393547,0.15821869671344757,0.24209930002689362,0.15886545181274414,0.000556229439098388,0.18667691946029663
41,0.21811246871948242,0.13687320053577423,0.0005166876944713295,0.16270753741264343,0.24507509171962738,0.16113342344760895,0.0005710749537684023,0.18968717753887177
42,0.20350928604602814,0.12501269578933716,0.0004625454603228718,0.14814001321792603,0.23772364854812622,0.15415364503860474,0.000564396264962852,0.18237343430519104
